date,btc_etf_vol_proxy_usd,eth_etf_vol_proxy_usd
2025-11-28,2440098593.886566,109469144.3441391
2025-12-01,4327756850.0,143383644.13452148
2025-12-02,3759385058.7768555,123196658.54301453
2025-12-03,3014180753.927231,145546577.29320526
2025-12-04,2130419898.9017487,212697874.55062866
2025-12-05,2817274088.6745453,191679893.64318848
2025-12-08,2221635155.7395935,145103505.2892685
2025-12-09,2954626729.6943665,262818397.06420898
2025-12-10,2950830424.358368,237163471.88415527
2025-12-11,2624412383.137512,165804474.78256226
2025-12-12,2413133501.5584908,194909455.38594818
