date,stablecoin_mcap_usd,stablecoin_mcap_change_usd,btc_oi_value_usd,eth_oi_value_usd
2025-10-19,181941057560.0,206671945.0,,
2025-10-20,181923069831.0,-17987729.0,,
2025-10-21,182138675951.0,215606120.0,,
2025-10-22,182601500509.0,462824558.0,,
2025-10-23,182562751850.0,-38748659.0,,
2025-10-24,182792886387.0,230134537.0,,
2025-10-25,183101507882.0,308621495.0,,
2025-10-26,183079500410.0,-22007472.0,,
2025-10-27,183154451545.0,74951135.0,,
2025-10-28,183245574379.0,91122834.0,,
2025-10-29,183472999907.0,227425528.0,,
2025-10-30,183409474077.0,-63525830.0,,
2025-10-31,183303971620.0,-105502457.0,,
2025-11-01,183393224146.0,89252526.0,,
2025-11-02,183463980411.0,70756265.0,,
2025-11-03,183555515016.0,91534605.0,,
2025-11-04,183555461585.0,-53431.0,,
2025-11-05,183343560327.0,-211901258.0,,
2025-11-06,183464373075.0,120812748.0,,
2025-11-07,183383441824.0,-80931251.0,8336692202.3616,5695331016.800655
2025-11-08,183599119128.0,215677304.0,8969884426.8117,5909985149.38661
2025-11-09,183366455745.0,-232663383.0,8619042452.0858,5775211772.93856
2025-11-10,183375955885.0,9500140.0,8949148311.6024,6091500073.892331
2025-11-11,183395444251.0,19488366.0,9202894150.2238,6184515402.73008
2025-11-12,183547300353.0,151856102.0,8821820136.904993,5701241284.289837
2025-11-13,184075638825.0,528338472.0,8736888776.5278,5845471573.6696
2025-11-14,183940205609.0,-135433216.0,9130386257.669498,5845343647.645557
2025-11-15,183901863026.0,-38342583.0,8829245667.32,5301352680.6619835
2025-11-16,183985483688.0,83620662.0,9256685640.1646,5668928490.21155
2025-11-17,183853042319.0,-132441369.0,9299540400.680899,5659201705.180052
2025-11-18,183929638153.0,76595834.0,9338177158.8544,5970885146.045546
2025-11-19,183705250687.0,-224387466.0,9287504651.1564,6108026215.56127
2025-11-20,183674741976.0,-30508711.0,9227186355.764154,6117131391.43326
2025-11-21,184675398945.0,1000656969.0,9097192182.318638,5697785809.113894
2025-11-22,184487293452.0,-188105493.0,8373797978.3565445,5169739413.244982
2025-11-23,184533511239.0,46217787.0,8372771128.379602,5263369107.931744
2025-11-24,184331338289.0,-202172950.0,8389728522.0945,5193574915.110918
