date,btc_realized_cap_usd,eth_realized_cap_usd
2025-03-24,1725847371421.875,
2025-03-24,1736788627743.75,
2025-03-24,1750734869737.5,
2025-03-25,1737544645306.25,
2025-03-25,1747754470125.0,
2025-03-25,1741475650950.0,
2025-03-25,1722716461743.75,
2025-03-25,1723163864993.75,
2025-03-26,1734338980993.75,
2025-03-26,1750142117868.75,
2025-03-26,1726796543712.5,
2025-03-26,1735039844906.25,
2025-03-27,1728844452415.625,
2025-03-27,1727665019862.5,
2025-03-27,1734488551378.125,
2025-03-27,1735286972371.875,
2025-03-27,1736268005531.25,
2025-03-28,1733167810850.0,
2025-03-28,1708987794921.875,
2025-03-28,1695126804937.5,
2025-03-28,1665469586006.25,
2025-03-28,1676769148437.5,
2025-03-29,1642810481565.625,
2025-03-29,1671261099356.25,
2025-03-29,1659799908112.5,
2025-03-29,1639508145034.375,
2025-03-30,1641315591281.25,
2025-03-30,1646387415481.25,
2025-03-30,1654248859265.625,
2025-03-30,1656678166234.375,
2025-03-31,1629337891868.75,
2025-03-31,1630139879343.75,
2025-03-31,1643344700990.625,
2025-03-31,1656827480343.75,
2025-03-31,1638419927443.75,
2025-04-01,1688959319334.375,
2025-04-01,1653371855234.375,
2025-04-01,1674395965618.75,
2025-04-01,1643525539256.25,
2025-04-02,1714662810000.0,
2025-04-02,1702965150253.125,
2025-04-02,1684820177356.25,
2025-04-02,1671353689359.375,
2025-04-02,1682595153484.375,
2025-04-03,1624755398050.0,
2025-04-03,1651462786015.625,
2025-04-03,1652503351112.5,
2025-04-03,1653305515312.5,
2025-04-03,1637941678062.5,
2025-04-04,1674838155703.125,
2025-04-04,1669845215965.625,
2025-04-04,1632338273325.0,
2025-04-04,1678711180265.625,
2025-04-04,1650977383912.5,
2025-04-04,1652874304212.5,
2025-04-05,1659930209353.125,
2025-04-05,1655413470590.625,
2025-04-05,1657902691568.75,
2025-04-05,1644554178268.75,
2025-04-05,1647023522593.75,
2025-04-06,1637819310250.0,
2025-04-06,1565463053137.5,
2025-04-06,1654673048437.5,
2025-04-06,1642991241068.75,
2025-04-07,1537525317337.5,
2025-04-07,1488588281250.0,
2025-04-07,1527200272296.875,
2025-04-07,1564006245703.125,
2025-04-07,1580031828900.0,
2025-04-08,1533975338200.0,
2025-04-08,1592028132500.0,
2025-04-08,1573160372650.0,
2025-04-08,1591190691150.0,
2025-04-09,1638116315678.125,
2025-04-09,1513774690203.125,
2025-04-09,1519177887150.0,
2025-04-09,1542905069990.625,
2025-04-10,1629907050234.375,
2025-04-10,1626937885015.625,
2025-04-10,1627581258415.625,
2025-04-10,1571971500609.375,
2025-04-10,1581110428968.75,
2025-04-11,1664134906462.5,
2025-04-11,1600471736187.5,
2025-04-11,1613580588812.5,
2025-04-11,1632009314812.5,
2025-04-12,1696532950993.75,
2025-04-12,1676138162340.625,
2025-04-12,1654932897312.5,
2025-04-12,1648807558440.625,
2025-04-12,1656676537753.125,
2025-04-13,1661352630525.0,
2025-04-13,1687291437500.0,
2025-04-13,1681344761250.0,
2025-04-13,1674723101625.0,
2025-04-13,1665728196350.0,
2025-04-14,1682127700800.0,
2025-04-14,1676699824006.25,
2025-04-14,1689018969025.0,
2025-04-14,1675670525625.0,
2025-04-14,1681676935531.25,
2025-04-15,1683684590912.5,
2025-04-15,1700487520625.0,
2025-04-15,1701409264537.5,
2025-04-15,1686390292734.375,
2025-04-16,1684637574615.625,
2025-04-16,1667397468628.125,
2025-04-16,1679603577109.375,
2025-04-16,1654834271603.125,
2025-04-16,1657125587143.75,
2025-04-17,1670638754221.875,
2025-04-17,1682379995175.0,
2025-04-17,1679470137834.375,
2025-04-17,1677711707512.5,
2025-04-17,1685601718671.875,
2025-04-18,1675828201415.625,
2025-04-18,1677986696771.875,
2025-04-18,1676486321109.375,
2025-04-18,1675541816959.375,
2025-04-19,1692669436568.75,
2025-04-19,1688826364575.0,
2025-04-19,1679608768921.875,
2025-04-19,1691211612796.875,
2025-04-20,1688179698978.125,
2025-04-20,1688188202078.125,
2025-04-20,1665841217296.875,
2025-04-20,1674486096437.5,
2025-04-21,1725459997115.625,
2025-04-21,1732894157446.875,
2025-04-21,1725437669921.875,
2025-04-21,1724533058165.625,
2025-04-22,1845056001903.125,
2025-04-22,1802200057546.875,
2025-04-22,1757656895556.25,
2025-04-22,1753390328025.0,
2025-04-22,1749785622593.75,
2025-04-23,1842325305034.375,
2025-04-23,1855458802968.75,
2025-04-23,1858704545059.375,
2025-04-23,1861970175046.875,
2025-04-24,1843255913493.75,
2025-04-24,1836295917490.625,
2025-04-24,1854512748125.0,
2025-04-24,1850133979115.625,
2025-04-25,1886071370700.0,
2025-04-25,1875399200000.0,
2025-04-25,1852406857859.375,
2025-04-25,1860100419250.0,
2025-04-26,1880521133400.0,
2025-04-26,1881841119900.0,
2025-04-26,1873729329600.0,
2025-04-26,1874433743500.0,
2025-04-26,1880022888000.0,
2025-04-27,1866152522700.0,
2025-04-27,1866161920800.0,
2025-04-27,1874272934100.0,
2025-04-27,1861851891000.0,
2025-04-28,1877874603200.0,
2025-04-28,1868591787300.0,
2025-04-28,1866885113600.0,
2025-04-28,1890981298800.0,
2025-04-29,1891188585000.0,
2025-04-29,1884049372800.0,
2025-04-29,1889380724200.0,
2025-04-29,1896578762400.0,
2025-04-29,1878497766300.0,
2025-04-30,1877602265000.0,
2025-04-30,1865876472000.0,
2025-04-30,1886519500000.0,
2025-04-30,1886212130000.0,
2025-05-01,1884721027200.0,
2025-05-01,1889079529500.0,
2025-05-01,1916275465600.0,
2025-05-01,1916880876200.0,
2025-05-02,1941783079800.0,
2025-05-02,1918438977000.0,
2025-05-02,1927712988140.625,
2025-05-02,1922490710400.0,
2025-05-02,1923036581500.0,
2025-05-03,1918786008634.375,
2025-05-03,1913453491093.75,
2025-05-03,1910404762612.5,
2025-05-03,1914346583631.25,
2025-05-03,1915031452937.5,
2025-05-04,1899470876653.125,
2025-05-04,1905886026393.75,
2025-05-04,1905240246187.5,
2025-05-04,1899599900512.5,
2025-05-05,1886628662512.5,
2025-05-05,1885010453600.0,
2025-05-05,1876103452800.0,
2025-05-05,1883283475725.0,
2025-05-05,1881347542812.5,
2025-05-05,1880821704387.5,
2025-05-06,1879011609812.5,
2025-05-06,1873539458862.5,
2025-05-06,1871086126612.5,
